nome_completo,nome_objeto,x_cartesiano,y_cartesiano,z_cartesiano,latitude,longitude,altitude
ARGO_PARNAIBAIII_V3::SECH14,SECH14,79.11888122558594,24.93655014038086,2.6603615283966064,-3.122974992183432,-41.7638252090196,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH13,SECH13,86.79595184326172,24.949718475341797,2.6603615283966064,-3.1229748738908074,-41.7637561424512,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH12,SECH12,43.63068771362305,-10.94332504272461,2.6603615283966064,-3.1232973051117745,-41.764144477639945,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH11,SECH11,51.15017318725586,-10.930421829223633,2.6603615283966064,-3.1232971892007657,-41.76407682878225,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH10,SECH10,58.757965087890625,-10.917367935180664,2.6603615283966064,-3.1232970719361766,-41.76400838547805,79.6603615283966
ARGO_PARNAIBAIII_V3::SECH1,SECH1,86.98067474365234,-82.692626953125,1.5444133281707764,-3.1239418371088137,-41.763754480596376,78.54441332817078
ARGO_PARNAIBAIII_V3::REATOR9,REATOR9,48.038917541503906,135.0950469970703,2.6603615283966064,-3.121985426095966,-41.76410481911366,79.6603615283966
ARGO_PARNAIBAIII_V3::REATOR8,REATOR8,57.924774169921875,135.1119842529297,2.6603615283966064,-3.121985273946704,-41.764015881258715,79.6603615283966
ARGO_PARNAIBAIII_V3::REATOR7,REATOR7,40.049163818359375,-106.37725067138672,1.3271758556365967,-3.124154598730429,-41.764176698727574,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR6,REATOR6,50.42438507080078,-106.35945892333984,1.3271758556365967,-3.1241544389051685,-41.76408335831638,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR5,REATOR5,60.4701042175293,-106.34220123291016,1.3271758556365967,-3.124154283877407,-41.763992982262394,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR4,REATOR4,70.55978393554688,-106.32491302490234,1.3271758556365967,-3.124154128575502,-41.76390221071827,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR3,REATOR3,80.30122375488281,-106.3082046508789,1.3271758556365967,-3.1241539784823114,-41.76381457210544,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR2,REATOR2,90.52080535888672,-106.29064178466797,1.3271758556365967,-3.124153820713121,-41.76372263190233,78.3271758556366
ARGO_PARNAIBAIII_V3::REATOR11,REATOR11,27.776094436645508,135.0602264404297,2.6603615283966064,-3.1219857388929175,-41.76428711308066,79.6603615283966
ARGO_PARNAIBAIII_V3::REATOR10,REATOR10,38.092830657958984,135.0779266357422,2.6603615283966064,-3.121985579890085,-41.76419429882854,79.6603615283966
ARGO_PARNAIBAIII_V3::REATOR1,REATOR1,100.96312713623047,-106.27274322509766,1.3271758556365967,-3.1241536599283606,-41.76362868782299,78.3271758556366
ARGO_PARNAIBAIII_V3::PR9,PR9,80.18009185791016,-96.32151794433594,1.5444133281707764,-3.124064266959615,-41.763815661865436,78.54441332817078
ARGO_PARNAIBAIII_V3::PR8,PR8,90.44113159179688,-96.30390930175781,1.5444133281707764,-3.124064108779211,-41.76372334868533,78.54441332817078
ARGO_PARNAIBAIII_V3::PR7,PR7,100.7092056274414,-96.28628540039062,1.5444133281707764,-3.1240639504617356,-41.763630972221314,78.54441332817078
ARGO_PARNAIBAIII_V3::PR6,PR6,43.71978759765625,-152.70614624023438,0.9896577596664429,-3.124570776376574,-41.764143676055134,77.98965775966644
ARGO_PARNAIBAIII_V3::PR5,PR5,51.37610626220703,-152.69302368164062,0.9896577596664429,-3.124570658495164,-41.76407479618115,77.98965775966644
ARGO_PARNAIBAIII_V3::PR4,PR4,58.93207550048828,-152.6800537109375,0.9896577596664429,-3.124570541984468,-41.7640068190982,77.98965775966644
ARGO_PARNAIBAIII_V3::PR3,PR3,72.02548217773438,-152.65756225585938,0.9896577596664429,-3.1245703399412132,-41.763889024601724,77.98965775966644
ARGO_PARNAIBAIII_V3::PR20,PR20,43.27516555786133,172.86734008789062,2.6603615283966064,-3.1216461133660807,-41.76414767608588,79.6603615283966
ARGO_PARNAIBAIII_V3::PR2,PR2,79.50816345214844,-152.64471435546875,0.9896577596664429,-3.1245702245270883,-41.763821706852056,77.98965775966644
ARGO_PARNAIBAIII_V3::PR19,PR19,50.804725646972656,172.8802490234375,2.6603615283966064,-3.1216459974036703,-41.76407993659216,79.6603615283966
ARGO_PARNAIBAIII_V3::PR18,PR18,58.408203125,172.89334106445312,2.6603615283966064,-3.121645879796403,-41.76401153210255,79.6603615283966
ARGO_PARNAIBAIII_V3::PR17,PR17,27.94761848449707,124.66851806640625,2.6603615283966064,-3.122079088770514,-41.764285569968976,79.6603615283966
ARGO_PARNAIBAIII_V3::PR16,PR16,37.43778991699219,124.684814453125,2.6603615283966064,-3.1220789423782507,-41.76420019188572,79.6603615283966
ARGO_PARNAIBAIII_V3::PR15,PR15,47.94452667236328,124.70281982421875,2.6603615283966064,-3.12207878063399,-41.76410566829868,79.6603615283966
ARGO_PARNAIBAIII_V3::PR14,PR14,58.14978790283203,124.72036743164062,2.6603615283966064,-3.1220786230018716,-41.76401385692846,79.6603615283966
ARGO_PARNAIBAIII_V3::PR13,PR13,39.84074020385742,-96.39071655273438,1.5444133281707764,-3.124064888578447,-41.76417857380526,78.54441332817078
ARGO_PARNAIBAIII_V3::PR12,PR12,50.10271453857422,-96.37310791015625,1.5444133281707764,-3.124064730398043,-41.76408625221705,78.54441332817078
