timestamp(ms),RCOU.C1,RCOU.C2,RCOU.C3,RCOU.C4,GPS[0].Spd,IMU[0].GyrZ
12399,1220,1780,1780,1220,1.6991704149074194,0.0
12419,1220,1780,1780,1220,1.7162282217626694,0.0
12419,1220,1780,1780,1220,1.7177906999450343,0.0
12419,1220,1780,1780,1220,1.7210741196415693,0.0
12440,1220,1780,1780,1220,1.7631469918711034,0.0
12440,1220,1780,1780,1220,1.7659801765605434,0.0
12440,1220,1780,1780,1220,1.7553985859729417,0.0
12459,1220,1780,1780,1220,1.7202879887427633,0.0
12459,1220,1780,1780,1220,1.720876926407046,0.0
12459,1220,1780,1780,1220,1.7347257759096892,0.0
12479,1220,1780,1780,1220,1.7408049947593094,0.0
12479,1220,1780,1780,1220,1.7407189594466494,0.0
12479,1220,1780,1780,1220,1.7337848478498117,0.0
12500,1220,1780,1780,1220,1.7327893688579645,0.0
12500,1220,1780,1780,1220,1.7337301813545547,0.0
12500,1220,1780,1780,1220,1.738449632066491,0.0
12519,1220,1780,1780,1220,1.7382200178942266,0.0
12519,1220,1780,1780,1220,1.7394791895502817,0.0
12519,1220,1780,1780,1220,1.7324612240297903,0.0
12539,1220,1780,1780,1220,1.709671385261029,0.0
12539,1220,1780,1780,1220,1.7105427523582843,0.0
12539,1220,1780,1780,1220,1.7139766683334612,0.0
12559,1220,1780,1780,1220,1.7139860761025072,0.0
12559,1220,1780,1780,1220,1.7148840287307046,0.0
12559,1220,1780,1780,1220,1.7228795829875923,0.0
12580,1220,1780,1780,1220,1.7500001674918795,0.0
12580,1220,1780,1780,1220,1.7514859221333547,0.0
12580,1220,1780,1780,1220,1.7467890636750596,0.0
12600,1220,1780,1780,1220,1.7318213756345069,0.0
12600,1220,1780,1780,1220,1.733032767163535,0.0
12600,1220,1780,1780,1220,1.7291429355090329,0.0
12619,1220,1780,1780,1220,1.7179571182678377,0.0
12619,1220,1780,1780,1220,1.718830065778046,0.0
12619,1220,1780,1780,1220,1.7307858494320771,0.0
12639,1220,1780,1780,1220,1.7368494994902621,0.0
12639,1220,1780,1780,1220,1.7384699536702541,0.0
12639,1220,1780,1780,1220,1.7351997757747188,0.0
12659,1220,1780,1780,1220,1.708241084615815,0.0
12659,1220,1780,1780,1220,1.7084996118768725,0.0
12659,1220,1780,1780,1220,1.7115801301355893,0.0
12679,1220,1780,1780,1220,1.7406690719302325,0.0
12679,1220,1780,1780,1220,1.7425996783145645,0.0
12679,1220,1780,1780,1220,1.7357929227670548,0.0
12700,1220,1780,1780,1220,1.7388004847103873,0.0
12700,1220,1780,1780,1220,1.7407741257630294,0.0
12700,1220,1780,1780,1220,1.7455528660016906,0.0
12720,1220,1780,1780,1220,1.7130641697322622,0.0
12720,1220,1780,1780,1220,1.7145586426188677,0.0
12720,1220,1780,1780,1220,1.7136174382373504,0.0
12739,1220,1780,1780,1220,1.6729280239358626,0.0
12739,1220,1780,1780,1220,1.6741391265137264,0.0
12739,1220,1780,1780,1220,1.6768456757820194,0.0
12760,1220,1780,1780,1220,1.6726402957293656,0.0
12760,1220,1780,1780,1220,1.6732037156843012,0.0
12760,1220,1780,1780,1220,1.6845016442749263,0.0
12779,1220,1780,1780,1220,1.7019740754953014,0.0
12779,1220,1780,1780,1220,1.7035638250124046,0.0
12779,1220,1780,1780,1220,1.702121929408621,0.0
12800,1220,1780,1780,1220,1.7313659125474747,0.0
12800,1220,1780,1780,1220,1.7345141364320242,0.0
12800,1220,1780,1780,1220,1.7247848657845148,0.0
12819,1220,1780,1780,1220,1.74408598049494,0.0
12819,1220,1780,1780,1220,1.7485268520684818,0.0
12819,1220,1780,1780,1220,1.7440668197400853,0.0
12840,1220,1780,1780,1220,1.7167660365578112,0.0
12840,1220,1780,1780,1220,1.7195191461030959,0.0
12840,1220,1780,1780,1220,1.7210907071262291,0.0
12859,1220,1780,1780,1220,1.7033223521181957,0.0
12859,1220,1780,1780,1220,1.7080644844863757,0.0
12859,1220,1780,1780,1220,1.7129862255285297,0.0
12879,1220,1780,1780,1220,1.7157722758782814,0.0
12879,1220,1780,1780,1220,1.717987526737745,0.0
12879,1220,1780,1780,1220,1.718334837048303,0.0
12899,1220,1780,1780,1220,1.7025346516973783,0.0
12899,1220,1780,1780,1220,1.707878426486147,0.0
12899,1220,1780,1780,1220,1.701046277409578,0.0
12919,1339,1660,1660,1339,1.7095050798757847,0.0
12919,1339,1660,1660,1339,1.7128447000631137,0.0
12919,1339,1660,1660,1339,1.713938135538581,0.0
12939,1469,1530,1530,1469,1.7376680240571778,0.0
12939,1469,1530,1530,1469,1.739441204194435,0.0
12939,1469,1530,1530,1469,1.7344807529324293,0.0
12960,1600,1399,1399,1600,1.720930703738088,0.0
12960,1600,1399,1399,1600,1.7238610507172885,0.0
12960,1600,1399,1399,1600,1.7262510508862923,0.0
12980,1730,1269,1269,1730,1.7221243601596847,0.0
12980,1730,1269,1269,1730,1.7256041831468474,0.0
12980,1730,1269,1269,1730,1.7097187978545731,0.0
13000,1860,1140,1140,1860,1.7075849030740917,0.0
13000,1860,1140,1140,1860,1.7111510336612228,0.0
13000,1860,1140,1140,1860,1.709635166883578,0.0
13019,1860,1140,1140,1860,1.704981734815681,0.0
13019,1860,1140,1140,1860,1.7075859060117766,0.0
13019,1860,1140,1140,1860,1.7074322181556005,0.0
13039,1860,1140,1140,1860,1.724664484061899,0.0
13039,1860,1140,1140,1860,1.729337463549193,0.0
13039,1860,1140,1140,1860,1.679428116963286,0.0
13059,1860,1140,1140,1860,1.5032291352836515,0.0
13059,1860,1140,1140,1860,1.5093269525052755,0.0
13059,1860,1140,1140,1860,1.4863586841535725,0.0
13080,1860,1140,1140,1860,1.2809539779041372,0.0
13080,1860,1140,1140,1860,1.2877163922998858,0.0
13080,1860,1140,1140,1860,1.2909742020270576,0.0
13100,1860,1140,1140,1860,1.161679820412021,0.0
13100,1860,1140,1140,1860,1.1685577421973725,0.0
13100,1860,1140,1140,1860,1.156012495325766,0.0
13119,1860,1140,1140,1860,1.0691508347815701,0.0
13119,1860,1140,1140,1860,1.0737743823695192,0.0
13119,1860,1140,1140,1860,1.064461387745701,0.0
13139,1860,1140,1140,1860,0.9539177041750659,0.0
13139,1860,1140,1140,1860,0.9592478033850104,0.0
13139,1860,1140,1140,1860,0.9561421318352074,0.0
13160,1860,1140,1140,1860,0.7708948755283028,0.0
13160,1860,1140,1140,1860,0.7763474593613355,0.0
13160,1860,1140,1140,1860,0.7662613187631901,0.0
13179,1860,1140,1140,1860,0.5778073660471464,0.0
13179,1860,1140,1140,1860,0.5831627352875026,0.0
13179,1860,1140,1140,1860,0.5834398511114509,0.0
13200,1860,1140,1140,1860,0.45816770562449005,0.0
13200,1860,1140,1140,1860,0.46624032447342173,0.0
13200,1860,1140,1140,1860,0.4557724219741698,0.0
13220,1860,1140,1140,1860,0.3322511619629857,0.0
13220,1860,1140,1140,1860,0.33655683740111647,0.0
13220,1860,1140,1140,1860,0.3256582038329815,0.0
13240,1860,1140,1140,1860,0.1640155356916809,0.0
13240,1860,1140,1140,1860,0.17027276705604766,0.0
13240,1860,1140,1140,1860,0.16697462303253946,0.0
13260,1860,1140,1140,1860,0.031285991222685536,0.0
13260,1860,1140,1140,1860,0.03491910644295054,0.0
13260,1860,1140,1140,1860,0.03461074040925144,0.0
13279,1860,1140,1140,1860,-0.08339085502325122,0.0
13279,1860,1140,1140,1860,-0.07889241008031156,0.0
13279,1860,1140,1140,1860,-0.07889341254922776,0.0
13300,1860,1140,1140,1860,-0.18948121011059732,0.0
13300,1860,1140,1140,1860,-0.1816450987817174,0.0
13300,1860,1140,1140,1860,-0.18395867702162316,0.0
13320,1860,1140,1140,1860,-0.3026258860370633,0.0
13320,1860,1140,1140,1860,-0.29685685719054067,0.0
13320,1860,1140,1140,1860,-0.29171833889058774,0.0
13339,1860,1140,1140,1860,-0.4053189729843595,0.0
13339,1860,1140,1140,1860,-0.40167300707478426,0.0
13339,1860,1140,1140,1860,-0.39470292015684505,0.0
13359,1860,1140,1140,1860,-0.5055815252220757,0.0
13359,1860,1140,1140,1860,-0.5003165865830844,0.0
13359,1860,1140,1140,1860,-0.49466251715377757,0.0
13380,1860,1140,1140,1860,-0.6132343313515352,0.0
13380,1860,1140,1140,1860,-0.6066483015779508,0.0
13380,1860,1140,1140,1860,-0.5988024754239231,0.0
13400,1860,1140,1140,1860,-0.7165264861750276,0.0
13400,1860,1140,1140,1860,-0.71225476041429,0.0
13400,1860,1140,1140,1860,-0.6989687131777281,0.0
13420,1860,1140,1140,1860,-0.7812681577404168,0.0
13420,1860,1140,1140,1860,-0.7737979950286544,0.0
13420,1860,1140,1140,1860,-0.7684729550376206,0.0
13440,1860,1140,1140,1860,-0.8092472337647183,0.0
13440,1860,1140,1140,1860,-0.800952054461088,0.0
13440,1860,1140,1140,1860,-0.8186059231971726,0.0
13459,1860,1140,1140,1860,-0.7808451028381522,0.0
13459,1860,1140,1140,1860,-0.770813457399544,0.0
13459,1860,1140,1140,1860,-0.7833563096636951,0.0
13479,1860,1140,1140,1860,-0.8855834520314574,0.0
13479,1860,1140,1140,1860,-0.8780030926384944,0.0
13479,1860,1140,1140,1860,-0.8843532446410372,0.0
13499,1860,1140,1140,1860,-0.9682539501982144,0.0
13499,1860,1140,1140,1860,-0.9594984250772176,0.0
13499,1860,1140,1140,1860,-0.9639101474077282,0.0
13520,1860,1140,1140,1860,-1.0654742677327906,0.0
13520,1860,1140,1140,1860,-1.058460374864629,0.0
13520,1860,1140,1140,1860,-1.0626302635740859,0.0
13540,1860,1140,1140,1860,-1.1426537794161193,0.0
13540,1860,1140,1140,1860,-1.1352751348832428,0.0
13540,1860,1140,1140,1860,-1.1377406880207068,0.0
13560,1860,1140,1140,1860,-1.184252137813181,0.0
13560,1860,1140,1140,1860,-1.1776131390769715,0.0
13560,1860,1140,1140,1860,-1.174039983359354,0.0
13580,1860,1140,1140,1860,-1.1796558750959127,0.0
13580,1860,1140,1140,1860,-1.170596366195033,0.0
13580,1860,1140,1140,1860,-1.1803438869178757,0.0
13600,1860,1140,1140,1860,-1.193589208533043,0.0
13600,1860,1140,1140,1860,-1.184283138502896,0.0
13600,1860,1140,1140,1860,-1.2013734720740243,0.0
13620,1860,1140,1140,1860,-1.2379445206685016,0.0
13620,1860,1140,1140,1860,-1.229199975096905,0.0
13620,1860,1140,1140,1860,-1.2385212808613053,0.0
13640,1860,1140,1140,1860,-1.2945890488164253,0.0
13640,1860,1140,1140,1860,-1.2867300732676819,0.0
13640,1860,1140,1140,1860,-1.2880290722744587,0.0
13660,1860,1140,1140,1860,-1.3562482965816454,0.0
13660,1860,1140,1140,1860,-1.3480597181357528,0.0
13660,1860,1140,1140,1860,-1.349974956131859,0.0
13680,1860,1140,1140,1860,-1.3889209571444643,0.0
13680,1860,1140,1140,1860,-1.3826796192996236,0.0
13680,1860,1140,1140,1860,-1.3841291432840674,0.0
13700,1860,1140,1140,1860,-1.3949451849526924,0.0
13700,1860,1140,1140,1860,-1.3877174916671846,0.0
13700,1860,1140,1140,1860,-1.3873377045408974,0.0
13720,1860,1140,1140,1860,-1.4275276576356792,0.0
13720,1860,1140,1140,1860,-1.4190558016191113,0.0
13720,1860,1140,1140,1860,-1.4289996052225156,0.0
13739,1860,1140,1140,1860,-1.4794703669868636,0.0
13739,1860,1140,1140,1860,-1.47082929375085,0.0
13739,1860,1140,1140,1860,-1.4749048889701197,0.0
13759,1860,1140,1140,1860,-1.4682565412491202,0.0
13759,1860,1140,1140,1860,-1.4602327178161625,0.0
13759,1860,1140,1140,1860,-1.4610268073968768,0.0
13780,1860,1140,1140,1860,-1.4888384440339744,0.0
13780,1860,1140,1140,1860,-1.4799109892046944,0.0
13780,1860,1140,1140,1860,-1.4896918524572798,0.0
13800,1860,1140,1140,1860,-1.5267065223924199,0.0
13800,1860,1140,1140,1860,-1.5189050437001954,0.0
13800,1860,1140,1140,1860,-1.513032387402608,0.0
13820,1860,1140,1140,1860,-1.5028410807859696,0.0
13820,1860,1140,1140,1860,-1.4926181185045002,0.0
13820,1860,1140,1140,1860,-1.5010729585963771,0.0
13840,1860,1140,1140,1860,-1.5002286697785576,0.0
13840,1860,1140,1140,1860,-1.4915787067260151,0.0
13840,1860,1140,1140,1860,-1.5001146151472426,0.0
13859,1860,1140,1140,1860,-1.5303538616240537,0.0
13859,1860,1140,1140,1860,-1.519489340762684,0.0
13859,1860,1140,1140,1860,-1.5259912841028553,0.0
13879,1860,1140,1140,1860,-1.5496517643270795,0.0
13879,1860,1140,1140,1860,-1.5413599062421404,0.0
13879,1860,1140,1140,1860,-1.5507611756055315,0.0
13899,1860,1140,1140,1860,-1.5587618707100095,0.0
13899,1860,1140,1140,1860,-1.5510383933771141,0.0
13899,1860,1140,1140,1860,-1.5470975486190248,0.0
13919,1860,1140,1140,1860,-1.5608501694177561,0.0
13919,1860,1140,1140,1860,-1.5525533158069833,0.0
13919,1860,1140,1140,1860,-1.5635557676537672,0.0
13939,1860,1140,1140,1860,-1.583826132035933,0.0
13939,1860,1140,1140,1860,-1.5762350006868182,0.0
13939,1860,1140,1140,1860,-1.574718846344435,0.0
13959,1860,1140,1140,1860,-1.5716502113738704,0.0
13959,1860,1140,1140,1860,-1.5629091140812896,0.0
13959,1860,1140,1140,1860,-1.5729383302115965,0.0
13979,1860,1140,1140,1860,-1.5583817702966285,0.0
13979,1860,1140,1140,1860,-1.549647528539127,0.0
13979,1860,1140,1140,1860,-1.555303663311431,0.0
14000,1860,1140,1140,1860,-1.5709416643900282,0.0
14000,1860,1140,1140,1860,-1.5620704419569473,0.0
14000,1860,1140,1140,1860,-1.570695404115304,0.0
14019,1860,1140,1140,1860,-1.5862416323946222,0.0
14019,1860,1140,1140,1860,-1.5781385401467172,0.0
14019,1860,1140,1140,1860,-1.5867490703696605,0.0
14040,1860,1140,1140,1860,-1.650179116887907,0.0
14040,1860,1140,1140,1860,-1.6436526483971627,0.0
14040,1860,1140,1140,1860,-1.6446902369650145,0.0
14060,1860,1140,1140,1860,-1.608610402390568,0.0
14060,1860,1140,1140,1860,-1.6010805924543483,0.0
14060,1860,1140,1140,1860,-1.6080973569700752,0.0
14079,1860,1140,1140,1860,-1.5832791350756317,0.0
14079,1860,1140,1140,1860,-1.573910913229637,0.0
14079,1860,1140,1140,1860,-1.584102631811684,0.0
14100,1860,1140,1140,1860,-1.5723562302465017,0.0
14100,1860,1140,1140,1860,-1.5633580493436172,0.0
14100,1860,1140,1140,1860,-1.572631681571306,0.0
14120,1860,1140,1140,1860,-1.567273685207733,0.0
14120,1860,1140,1140,1860,-1.5591329748010563,0.0
14120,1860,1140,1140,1860,-1.5648342299041351,0.0
14139,1860,1140,1140,1860,-1.611894119737951,0.0
14139,1860,1140,1140,1860,-1.6028408980587066,0.0
14139,1860,1140,1140,1860,-1.6075640661871458,0.0
14160,1860,1140,1140,1860,-1.6246589153884496,0.0
14160,1860,1140,1140,1860,-1.6184494858608762,0.0
14160,1860,1140,1140,1860,-1.6146239259002577,0.0
14179,1860,1140,1140,1860,-1.6317424726243308,0.0
14179,1860,1140,1140,1860,-1.6250279255867142,0.0
14179,1860,1140,1140,1860,-1.6301328788886766,0.0
14200,1860,1140,1140,1860,-1.6235754860356533,0.0
14200,1860,1140,1140,1860,-1.6165339016336822,0.0
14200,1860,1140,1140,1860,-1.6225056512084621,0.0
14219,1860,1140,1140,1860,-1.5923094898673094,0.0
14219,1860,1140,1140,1860,-1.5846516932728179,0.0
14219,1860,1140,1140,1860,-1.59842410437849,0.0
14240,1860,1140,1140,1860,-1.6236202006964604,0.0
14240,1860,1140,1140,1860,-1.6171377977070407,0.0
14240,1860,1140,1140,1860,-1.6167165769922212,0.0
14259,1860,1140,1140,1860,-1.6118070113191216,0.0
14259,1860,1140,1140,1860,-1.6053643701148799,0.0
14259,1860,1140,1140,1860,-1.6204531561682622,0.0
14279,1860,1140,1140,1860,-1.6298698131546963,0.0
14279,1860,1140,1140,1860,-1.6249103260783304,0.0
14279,1860,1140,1140,1860,-1.6236134394443495,0.0
14300,1860,1140,1140,1860,-1.6363577089791188,0.0
14300,1860,1140,1140,1860,-1.630959104425788,0.0
14300,1860,1140,1140,1860,-1.6268902292400622,0.0
14320,1860,1140,1140,1860,-1.628406373733724,0.0
14320,1860,1140,1140,1860,-1.6217782508465928,0.0
14320,1860,1140,1140,1860,-1.6339455907369917,0.0
14340,1860,1140,1140,1860,-1.6635615809099493,0.0
14340,1860,1140,1140,1860,-1.6570451918128515,0.0
14340,1860,1140,1140,1860,-1.6588852477746212,0.0
14360,1860,1140,1140,1860,-1.6330288712306527,0.0
14360,1860,1140,1140,1860,-1.6262333883769855,0.0
14360,1860,1140,1140,1860,-1.6324689266247148,0.0
14379,1860,1140,1140,1860,-1.618371490002672,0.0
14379,1860,1140,1140,1860,-1.6118006123707282,0.0
14379,1860,1140,1140,1860,-1.6212326399730665,0.0
14399,1860,1140,1140,1860,-1.6506192529887798,0.0
14399,1860,1140,1140,1860,-1.6455601723351099,0.0
14399,1860,1140,1140,1860,-1.6423884077657687,0.0
14420,1860,1140,1140,1860,-1.629918502463841,0.0
14420,1860,1140,1140,1860,-1.6242620672674468,0.0
14420,1860,1140,1140,1860,-1.632858586735461,0.0
14439,1860,1140,1140,1860,-1.6598543830241907,0.0
14439,1860,1140,1140,1860,-1.6546856747342877,0.0
14439,1860,1140,1140,1860,-1.651001182386779,0.0
14459,1860,1140,1140,1860,-1.6620469951575143,0.0
14459,1860,1140,1140,1860,-1.656821239187558,0.0
14459,1860,1140,1140,1860,-1.6607928734359216,0.0
14479,1860,1140,1140,1860,-1.6675409824393506,0.0
14479,1860,1140,1140,1860,-1.6618070288739166,0.0
14479,1860,1140,1140,1860,-1.6678130413028485,0.0
14500,1860,1140,1140,1860,-1.6478219568681762,0.0
14500,1860,1140,1140,1860,-1.6414857476027018,0.0
14500,1860,1140,1140,1860,-1.6518221766489196,0.0
14520,1860,1140,1140,1860,-1.6322533854624077,0.0
14520,1860,1140,1140,1860,-1.626896161048727,0.0
14520,1860,1140,1140,1860,-1.6246784287742795,0.0
14540,1860,1140,1140,1860,-1.5997861927770063,0.0
14540,1860,1140,1140,1860,-1.5934295085207366,0.0
14540,1860,1140,1140,1860,-1.6008699618740416,0.0
14560,1860,1140,1140,1860,-1.6093138344175633,0.0
14560,1860,1140,1140,1860,-1.6043153192820787,0.0
14560,1860,1140,1140,1860,-1.609691045316863,0.0
14580,1860,1140,1140,1860,-1.6589499334007352,0.0
14580,1860,1140,1140,1860,-1.653268483237409,0.0
14580,1860,1140,1140,1860,-1.6534740768424212,0.0
14599,1860,1140,1140,1860,-1.6993105400657225,0.0
14599,1860,1140,1140,1860,-1.6939605848226302,0.0
14599,1860,1140,1140,1860,-1.6883273907192438,0.0
14619,1741,1273,1273,1741,-1.7178032248256776,0.0
14619,1741,1273,1273,1741,-1.7133337230436165,0.0
14619,1741,1273,1273,1741,-1.720245017485058,0.0
14639,1623,1407,1407,1623,-1.7150443696535282,0.0
14639,1623,1407,1407,1623,-1.7109705443624388,0.0
