Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP26,-3.122408153273123,-41.7648529246644,72.0,"[(-3.122412856173157, -41.76485943734718), (-3.1224034503730898, -41.764846411981615)]","[(-3.122412856173157, -41.76485943734718), (-3.1224034503730898, -41.764846411981615)]",88.03614,-35.11613,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip26
ARGO_PARNATorreIBAIII_V3::BRAVO::BUSIP25,-3.122453424316493,-41.764852846848,72.0,"[(-3.1224581272165266, -41.764859359530774), (-3.1224487214164593, -41.76484633416521)]","[(-3.1224581272165266, -41.764859359530774), (-3.1224487214164593, -41.76484633416521)]",82.99662,-35.10748,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip25
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP24,-3.1222000585121963,-41.76492930286122,72.0,"[(-3.1222047614122297, -41.764935815544), (-3.1221953556121624, -41.76492279017844)]","[(-3.1222047614122297, -41.764935815544), (-3.1221953556121624, -41.76492279017844)]",111.20101,-43.60584,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip24
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP23,-3.122285442137146,-41.76492915601582,72.0,"[(-3.12229014503718, -41.76493566869859), (-3.122280739237113, -41.76492264333304)]","[(-3.12229014503718, -41.76493566869859), (-3.122280739237113, -41.76492264333304)]",101.69621,-43.58951,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip23
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP22,-3.1223266949590585,-41.764929085098885,72.0,"[(-3.1223313978590923, -41.764935597781665), (-3.122321992059025, -41.764922572416104)]","[(-3.1223313978590923, -41.764935597781665), (-3.122321992059025, -41.764922572416104)]",97.10399,-43.58163,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip22
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP21,-3.122372025080818,-41.76492900724814,72.0,"[(-3.1223767279808516, -41.76493551993092), (-3.1223673221807844, -41.76492249456536)]","[(-3.1223767279808516, -41.76493551993092), (-3.1223673221807844, -41.76492249456536)]",92.05789,-43.57298,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip21
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP20,-3.122409440137652,-41.76492894285311,72.0,"[(-3.1224141430376857, -41.76493545553589), (-3.1224047372376185, -41.76492243017033)]","[(-3.1224141430376857, -41.76493545553589), (-3.1224047372376185, -41.76492243017033)]",87.89289,-43.56582,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip20
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP2,-3.122474433887997,-41.7655065803425,76.0,"[(-3.1224791367880314, -41.765513093025284), (-3.122469730987964, -41.76550006765972)]","[(-3.1224791367880314, -41.765513093025284), (-3.122469730987964, -41.76550006765972)]",80.65786,-107.77225,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip2
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP19,-3.122452051077158,-41.76492886967067,72.0,"[(-3.1224567539771915, -41.76493538235345), (-3.122447348177124, -41.76492235698789)]","[(-3.1224567539771915, -41.76493538235345), (-3.122447348177124, -41.76492235698789)]",83.14949,-43.55769,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip19
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP18,-3.122259201084647,-41.76524002971029,76.0,"[(-3.1222639039846802, -41.765246542393065), (-3.122254498184613, -41.765233517027504)]","[(-3.1222639039846802, -41.765246542393065), (-3.122254498184613, -41.765233517027504)]",104.61733,-78.14421,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip18
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP17,-3.122328101427833,-41.76524027321665,76.0,"[(-3.122332804327866, -41.76524678589943), (-3.122323398527799, -41.76523376053387)]","[(-3.122332804327866, -41.76524678589943), (-3.122323398527799, -41.76523376053387)]",96.94742,-78.17128,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip17
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP16,-3.12239590183006,-41.76524039736126,76.0,"[(-3.1224006047300934, -41.76524691004404), (-3.122391198930026, -41.76523388467848)]","[(-3.1224006047300934, -41.76524691004404), (-3.122391198930026, -41.76523388467848)]",89.39996,-78.18508,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip16
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP15,-3.122259317892932,-41.76530816900456,76.0,"[(-3.1222640207929655, -41.765314681687336), (-3.1222546149928982, -41.765301656321775)]","[(-3.1222640207929655, -41.765314681687336), (-3.1222546149928982, -41.765301656321775)]",104.60433,-85.71814,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip15
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP14,-3.122328218099045,-41.7653084126482,76.0,"[(-3.122332920999079, -41.765314925330976), (-3.1223235151990116, -41.76530189996542)]","[(-3.122332920999079, -41.765314925330976), (-3.1223235151990116, -41.76530189996542)]",96.93444,-85.74522,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip14
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP1,-3.1225347956155107,-41.76548708201681,76.0,"[(-3.1225394985155446, -41.76549359469959), (-3.122530092715477, -41.76548056933403)]","[(-3.1225394985155446, -41.76549359469959), (-3.122530092715477, -41.76548056933403)]",73.93846,-105.60494,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip1
ARGO_PARNAIBAIII_V3::CHARLIE_DELTA::BUSIP13.003,-3.1227269158540856,-41.76492770046346,76.0,"[(-3.122731618754119, -41.76493421314624), (-3.1227222129540517, -41.76492118778068)]","[(-3.122731618754119, -41.76493421314624), (-3.1227222129540517, -41.76492118778068)]",52.55186,-43.42772,1.447815,1.0470428,cd_argo_parnaibaiii_v3_busip13.003
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP13,-3.122396018638345,-41.76530853665553,76.0,"[(-3.1224007215383787, -41.76531504933831), (-3.122391315738311, -41.76530202397275)]","[(-3.1224007215383787, -41.76531504933831), (-3.122391315738311, -41.76530202397275)]",89.38696,-85.759,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip13
ARGO_PARNAIBAIII_V3::BRAVO::BUSIP12,-3.122261767621408,-41.76540440747146,76.0,"[(-3.122266470521441, -41.76541092015424), (-3.122257064721374, -41.76539789478868)]","[(-3.122266470521441, -41.76541092015424), (-3.122257064721374, -41.76539789478868)]",104.33163,-96.41538,1.447815,1.0470428,b_argo_parnaibaiii_v3_busip12
