Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::BUSIP43,-3.1236566906065777,-41.76382736373042,79.0,"[(-3.1236613935066115, -41.7638338764132), (-3.1236519877065443, -41.76382085104764)]","[(-3.1236613935066115, -41.7638338764132), (-3.1236519877065443, -41.76382085104764)]",-50.94958970140856,78.87855668913261,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip43
ARGO_PARNAIBAIII_V3::BUSIP42,-3.123697943085808,-41.76382729288213,79.0,"[(-3.1237026459858415, -41.76383380556491), (-3.123693240185774, -41.763820780199346)]","[(-3.1237026459858415, -41.76383380556491), (-3.123693240185774, -41.763820780199346)]",-55.54176804356186,78.88643172498931,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip42
ARGO_PARNAIBAIII_V3::BUSIP41,-3.123738516197827,-41.76382722313227,79.0,"[(-3.123743219097861, -41.76383373581505), (-3.123733813297793, -41.763820710449494)]","[(-3.123743219097861, -41.76383373581505), (-3.123733813297793, -41.763820710449494)]",-60.05832001246401,78.89418466581918,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip41
ARGO_PARNAIBAIII_V3::BUSIP40,-3.123783918385626,-41.76382714500696,79.0,"[(-3.12378862128566, -41.76383365768973), (-3.123779215485593, -41.763820632324176)]","[(-3.12378862128566, -41.76383365768973), (-3.123779215485593, -41.763820632324176)]",-65.11243911973386,78.90286856845609,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip40
ARGO_PARNAIBAIII_V3::BUSIP4,-3.123869170231212,-41.76492669783224,79.0,"[(-3.123873873131245, -41.76493321051501), (-3.123864467331178, -41.76492018514946)]","[(-3.123873873131245, -41.76493321051501), (-3.123864467331178, -41.76492018514946)]",-74.60257610622646,-43.316278873435,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip4
ARGO_PARNAIBAIII_V3::BUSIP39,-3.1238259601302083,-41.76382707278564,79.0,"[(-3.1238306630302417, -41.76383358546841), (-3.1238212572301745, -41.76382056010286)]","[(-3.1238306630302417, -41.76383358546841), (-3.1238212572301745, -41.76382056010286)]",-69.79247756925915,78.91089622091565,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip39
ARGO_PARNAIBAIII_V3::BUSIP38,-3.123867932036183,-41.76382700070162,79.0,"[(-3.123872634936217, -41.7638335133844), (-3.1238632291361497, -41.76382048801884)]","[(-3.123872634936217, -41.7638335133844), (-3.1238632291361497, -41.76382048801884)]",-74.46474166576208,78.91890861204553,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip38
ARGO_PARNAIBAIII_V3::BUSIP37,-3.123909184789559,-41.763826929716046,79.0,"[(-3.1239138876895924, -41.76383344239883), (-3.123904481889525, -41.763820417033266)]","[(-3.1239138876895924, -41.76383344239883), (-3.123904481889525, -41.763820417033266)]",-79.0569505254885,78.92679890670126,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip37
ARGO_PARNAIBAIII_V3::BUSIP36,-3.123994613991225,-41.76382678280199,79.0,"[(-3.1239993168912585, -41.763833295484766), (-3.1239899110911913, -41.76382027011921)]","[(-3.1239993168912585, -41.763833295484766), (-3.1239899110911913, -41.76382027011921)]",-88.56683058607041,78.9431289187784,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip36
ARGO_PARNAIBAIII_V3::BUSIP35,-3.123431224606094,-41.76390412229242,77.0,"[(-3.123435927506127, -41.763910634975204), (-3.12342652170606, -41.76389760960964)]","[(-3.123435927506127, -41.763910634975204), (-3.12342652170606, -41.76389760960964)]",-25.850974935904794,70.34657369455248,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip35
ARGO_PARNAIBAIII_V3::BUSIP34,-3.123530246360743,-41.76390395217415,79.0,"[(-3.1235349492607765, -41.76391046485693), (-3.123525543460709, -41.76389743949137)]","[(-3.1235349492607765, -41.76391046485693), (-3.123525543460709, -41.76389743949137)]",-36.87396229544859,70.36548293645693,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip34
ARGO_PARNAIBAIII_V3::BUSIP33,-3.123574373291474,-41.76390387624568,79.0,"[(-3.1235790761915077, -41.76391038892846), (-3.12356967039144, -41.7638973635629)]","[(-3.1235790761915077, -41.76391038892846), (-3.12356967039144, -41.7638973635629)]",-41.78612125875525,70.37392265207697,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip33
ARGO_PARNAIBAIII_V3::BUSIP32,-3.123615552265399,-41.76390380553469,79.0,"[(-3.1236202551654326, -41.76391031821746), (-3.1236108493653654, -41.76389729285191)]","[(-3.1236202551654326, -41.76391031821746), (-3.1236108493653654, -41.76389729285191)]",-46.37011707527876,70.3817824264706,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip32
ARGO_PARNAIBAIII_V3::BUSIP31,-3.1236569178639817,-41.76390373454908,79.0,"[(-3.123661620764015, -41.763910247231856), (-3.123652214963948, -41.7638972218663)]","[(-3.123661620764015, -41.763910247231856), (-3.123652214963948, -41.7638972218663)]",-50.974887733100886,70.38967272523145,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip31
ARGO_PARNAIBAIII_V3::BUSIP30,-3.1237025153462947,-41.76390365614915,79.0,"[(-3.123707218246328, -41.76391016883193), (-3.123697812446261, -41.763897143466366)]","[(-3.123707218246328, -41.76391016883193), (-3.123697812446261, -41.763897143466366)]",-56.05074680007755,70.39838715255098,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip30
ARGO_PARNAIBAIII_V3::BUSIP3,-3.123914666964995,-41.76492661970688,79.0,"[(-3.1239193698650287, -41.764933132389665), (-3.1239099640649615, -41.7649201070241)]","[(-3.1239193698650287, -41.764933132389665), (-3.1239099640649615, -41.7649201070241)]",-79.66721996325215,-43.30759496735867,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip3
ARGO_PARNAIBAIII_V3::BUSIP29,-3.1237397573486816,-41.763903592028726,79.0,"[(-3.1237444602487154, -41.763910104711506), (-3.1237350544486477, -41.763897079345945)]","[(-3.1237444602487154, -41.763910104711506), (-3.1237350544486477, -41.763897079345945)]",-60.19648349208456,70.40551436184876,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip29
ARGO_PARNAIBAIII_V3::BUSIP28,-3.12378245618614,-41.76390351870898,79.0,"[(-3.1237871590861728, -41.76391003139176), (-3.1237777532861055, -41.7638970060262)]","[(-3.1237871590861728, -41.76391003139176), (-3.1237777532861055, -41.7638970060262)]",-64.94966876163832,70.41366410852483,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip28
ARGO_PARNAIBAIII_V3::BUSIP27,-3.1238674167358016,-41.763903372618735,79.0,"[(-3.1238721196358354, -41.76390988530151), (-3.123862713835768, -41.763896859935954)]","[(-3.1238721196358354, -41.76390988530151), (-3.123862713835768, -41.763896859935954)]",-74.40737902244547,70.42990255081878,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip27
ARGO_PARNAIBAIII_V3::BUSIP26,-3.1239129131954395,-41.76390329463066,79.0,"[(-3.1239176160954734, -41.76390980731344), (-3.1239082102954057, -41.763896781947885)]","[(-3.1239176160954734, -41.76390980731344), (-3.1239082102954057, -41.763896781947885)]",-79.47199236189802,70.43857119809607,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip26
ARGO_PARNAIBAIII_V3::BUSIP25,-3.123954455446631,-41.76390322309589,79.0,"[(-3.1239591583466644, -41.76390973577867), (-3.123949752546597, -41.763896710413114)]","[(-3.1239591583466644, -41.76390973577867), (-3.123949752546597, -41.763896710413114)]",-84.09642778410449,70.44652253843951,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip25
ARGO_PARNAIBAIII_V3::BUSIP24,-3.1239947450577707,-41.76390315389524,79.0,"[(-3.123999447957804, -41.763909666578016), (-3.123990042157737, -41.763896641212455)]","[(-3.123999447957804, -41.763909666578016), (-3.123990042157737, -41.763896641212455)]",-88.5814207625481,70.45421443379985,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip24
ARGO_PARNAIBAIII_V3::BUSIP23,-3.12343296303284,-41.76485107661856,77.0,"[(-3.1234376659328738, -41.764857589301336), (-3.1234282601328065, -41.764844563935775)]","[(-3.1234376659328738, -41.764857589301336), (-3.1234282601328065, -41.764844563935775)]",-26.04449459345971,-34.91071612868652,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip23
ARGO_PARNAIBAIII_V3::BUSIP22,-3.1235299413400166,-41.76485090989855,79.0,"[(-3.12353464424005, -41.76485742258133), (-3.1235252384399828, -41.764844397215775)]","[(-3.12353464424005, -41.76485742258133), (-3.1235252384399828, -41.764844397215775)]",-36.84000774048046,-34.89218461614878,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip22
ARGO_PARNAIBAIII_V3::BUSIP21,-3.123576409097724,-41.76485083002261,79.0,"[(-3.123581111997757, -41.76485734270538), (-3.1235717061976898, -41.76484431733983)]","[(-3.123581111997757, -41.76485734270538), (-3.1235717061976898, -41.76484431733983)]",-42.01274485916132,-34.88330612518757,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip21
ARGO_PARNAIBAIII_V3::BUSIP20,-3.1236186208126138,-41.76485075749236,79.0,"[(-3.123623323712647, -41.76485727017514), (-3.12361391791258, -41.76484424480958)]","[(-3.123623323712647, -41.76485727017514), (-3.12361391791258, -41.76484424480958)]",-46.71170420711289,-34.87524413426938,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip20
ARGO_PARNAIBAIII_V3::BUSIP2,-3.1239562092161863,-41.76492654824075,79.0,"[(-3.12396091211622, -41.76493306092353), (-3.123951506316153, -41.76492003555797)]","[(-3.12396091211622, -41.76493306092353), (-3.123951506316153, -41.76492003555797)]",-84.29165538546111,-43.29965125640973,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip2
ARGO_PARNAIBAIII_V3::BUSIP19,-3.1236584442390605,-41.76485068904688,79.0,"[(-3.1236631471390943, -41.76485720172966), (-3.123653741339027, -41.7648441763641)]","[(-3.1236631471390943, -41.76485720172966), (-3.123653741339027, -41.7648441763641)]",-51.14480204398236,-34.86763617920798,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip19
ARGO_PARNAIBAIII_V3::BUSIP18,-3.1236996967182904,-41.76485061812995,79.0,"[(-3.1237043996183242, -41.76485713081273), (-3.123694993818257, -41.76484410544717)]","[(-3.1237043996183242, -41.76485713081273), (-3.123694993818257, -41.76484410544717)]",-55.73698038613315,-34.85975351395675,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip18
ARGO_PARNAIBAIII_V3::BUSIP17,-3.12374026983031,-41.76485054838009,79.0,"[(-3.1237449727303432, -41.76485706106287), (-3.123735566930276, -41.76484403569731)]","[(-3.1237449727303432, -41.76485706106287), (-3.123735566930276, -41.76484403569731)]",-60.25353235503531,-34.85200057312685,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip17
ARGO_PARNAIBAIII_V3::BUSIP16,-3.123785672018109,-41.76485047035773,79.0,"[(-3.123790374918143, -41.76485698304051), (-3.1237809691180756, -41.764843957674955)]","[(-3.123790374918143, -41.76485698304051), (-3.1237809691180756, -41.764843957674955)]",-65.30765146230888,-34.84332811458175,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip16
ARGO_PARNAIBAIII_V3::BUSIP15,-3.123827713762691,-41.76485039810209,79.0,"[(-3.1238324166627245, -41.76485691078487), (-3.1238230108626572, -41.76484388541932)]","[(-3.1238324166627245, -41.76485691078487), (-3.1238230108626572, -41.76484388541932)]",-69.98768991183292,-34.83529664742493,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip15
ARGO_PARNAIBAIII_V3::BUSIP14,-3.123869685668666,-41.76485032594944,79.0,"[(-3.1238743885686997, -41.76485683863222), (-3.1238649827686324, -41.76484381326666)]","[(-3.1238743885686997, -41.76485683863222), (-3.1238649827686324, -41.76484381326666)]",-74.65995400833337,-34.82727662690053,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip14
ARGO_PARNAIBAIII_V3::BUSIP13,-3.123910938422042,-41.764850255032506,79.0,"[(-3.123915641322075, -41.76485676771529), (-3.123906235522008, -41.764843742349726)]","[(-3.123915641322075, -41.76485676771529), (-3.123906235522008, -41.764843742349726)]",-79.2521628680623,-34.819393961639335,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip13
ARGO_PARNAIBAIII_V3::BUSIP12,-3.123996367623708,-41.7648501082214,79.0,"[(-3.1240010705237413, -41.76485662090418), (-3.123991664723674, -41.76484359553863)]","[(-3.1240010705237413, -41.76485662090418), (-3.123991664723674, -41.76484359553863)]",-88.76204292864796,-34.803075393653984,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip12
ARGO_PARNAIBAIII_V3::BUSIP11,-3.1234329782728447,-41.7649274476432,77.0,"[(-3.1234376811728786, -41.76493396032598), (-3.123428275372811, -41.76492093496042)]","[(-3.1234376811728786, -41.76493396032598), (-3.123428275372811, -41.76492093496042)]",-26.04619109317709,-43.399622988484126,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip11
ARGO_PARNAIBAIII_V3::BUSIP10,-3.1235319999932254,-41.76492727738765,79.0,"[(-3.1235367028932592, -41.76493379007043), (-3.123527297093192, -41.76492076470487)]","[(-3.1235367028932592, -41.76493379007043), (-3.123527297093192, -41.76492076470487)]",-37.06917463801864,-43.38069848779186,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip10
ARGO_PARNAIBAIII_V3::BUSIP1,-3.1239964985531805,-41.7649264790401,79.0,"[(-3.1240012014532144, -41.76493299172287), (-3.1239917956531467, -41.76491996635732)]","[(-3.1240012014532144, -41.76493299172287), (-3.1239917956531467, -41.76491996635732)]",-88.77661784632659,-43.291959361059405,1.447815,1.0470428,ef_argo_parnaibaiii_v3_busip1
ARGO_PARNAIBAIII_V3::BUSCSB9,-3.123530993799819,-41.7650007250704,79.0,"[(-3.1235359329455665, -41.76500774732416), (-3.123526054654072, -41.764993702816625)]","[(-3.1235359329455665, -41.76500774732416), (-3.123526054654072, -41.764993702816625)]",-36.95716635015089,-51.5446656569644,1.5610962,1.09964,ef_argo_parnaibaiii_v3_buscsb9
ARGO_PARNAIBAIII_V3::BUSCSB8,-3.1236176622083995,-41.76500057609678,79.0,"[(-3.123622601354147, -41.76500759835055), (-3.123612723062652, -41.76499355384301)]","[(-3.123622601354147, -41.76500759835055), (-3.123612723062652, -41.76499355384301)]",-46.60499349317753,-51.52810671797091,1.5610962,1.09964,ef_argo_parnaibaiii_v3_buscsb8
ARGO_PARNAIBAIII_V3::BUSCSB7,-3.123698938925772,-41.765000436459744,79.0,"[(-3.123703878071519, -41.76500745871351), (-3.1236939997800244, -41.76499341420598)]","[(-3.123703878071519, -41.76500745871351), (-3.1236939997800244, -41.76499341420598)]",-55.65262379816439,-51.51258557277493,1.5610962,1.09964,ef_argo_parnaibaiii_v3_buscsb7
