Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
SECH4,-3.1239435276313445,-41.76400727677406,78,"[(-3.123948298920442, -41.764036998795014), (-3.123938756342247, -41.76397755475311)]","[(-3.123948298920442, -41.764036998795014), (-3.123938756342247, -41.76397755475311)]",-82.7408447265625,58.881202697753906,6.607482,1.0604858,ef_sech4
SECH3,-3.123943329090789,-41.7638917119717,78,"[(-3.123948100379887, -41.76392143399265), (-3.1239385578016914, -41.763861989950755)]","[(-3.123948100379887, -41.76392143399265), (-3.1239385578016914, -41.763861989950755)]",-82.71878051757812,71.72676849365234,6.607482,1.0604858,ef_sech3
SECH24,-3.1222215301312177,-41.764146323443676,79,"[(-3.1222263014203153, -41.76417604546463), (-3.12221675884212, -41.76411660142273)]","[(-3.1222263014203153, -41.76417604546463), (-3.12221675884212, -41.76411660142273)]",108.62818145751953,43.42551803588867,6.607482,1.0604858,ef_sech24
SECH23,-3.1222214139726354,-41.76407867451734,79,"[(-3.1222261852617335, -41.76410839653829), (-3.122216642683538, -41.76404895249639)]","[(-3.1222261852617335, -41.76410839653829), (-3.122216642683538, -41.76404895249639)]",108.6410903930664,50.945011138916016,6.607482,1.0604858,ef_sech23
SECH22,-3.1222212964410208,-41.76401023128178,79,"[(-3.1222260677301183, -41.76403995330273), (-3.122216525151923, -41.763980509260826)]","[(-3.1222260677301183, -41.76403995330273), (-3.122216525151923, -41.763980509260826)]",108.6541519165039,58.55279541015625,6.607482,1.0604858,ef_sech22
SECH21,-3.122877435217668,-41.764145198198015,79,"[(-3.1228822065067656, -41.76417492021896), (-3.1228726639285704, -41.76411547617706)]","[(-3.1228822065067656, -41.76417492021896), (-3.1228726639285704, -41.76411547617706)]",35.73613739013672,43.550594329833984,6.607482,1.0604858,ef_sech21
SECH20,-3.1228773191277375,-41.764077549340314,79,"[(-3.122882090416835, -41.76410727136127), (-3.12287254783864, -41.76404782731937)]","[(-3.122882090416835, -41.76410727136127), (-3.12287254783864, -41.76404782731937)]",35.74903869628906,51.0700798034668,6.607482,1.0604858,ef_sech20
SECH2,-3.1239432122456905,-41.76382354743932,78,"[(-3.123947983534788, -41.76385326946028), (-3.123938440956593, -41.763793825418375)]","[(-3.123947983534788, -41.76385326946028), (-3.123938440956593, -41.763793825418375)]",-82.70579528808594,79.30357360839844,6.607482,1.0604858,ef_sech2
SECH19,-3.122877201664774,-41.76400910603611,79,"[(-3.1228819729538717, -41.76403882805707), (-3.1228724303756765, -41.763979384015165)]","[(-3.1228819729538717, -41.76403882805707), (-3.1228724303756765, -41.763979384015165)]",35.76209259033203,58.67787170410156,6.607482,1.0604858,ef_sech19
SECH18,-3.1229751621376707,-41.76414503058487,79,"[(-3.1229799334267683, -41.76417475260582), (-3.122970390848573, -41.764115308563916)]","[(-3.1229799334267683, -41.76417475260582), (-3.122970390848573, -41.764115308563916)]",24.87554931640625,43.5692253112793,6.607482,1.0604858,ef_sech18
SECH17,-3.122975046082066,-41.76407738172717,79,"[(-3.1229798173711636, -41.76410710374812), (-3.1229702747929684, -41.76404765970622)]","[(-3.1229798173711636, -41.76410710374812), (-3.1229702747929684, -41.76404765970622)]",24.888446807861328,51.08871078491211,6.607482,1.0604858,ef_sech17
SECH16,-3.1229749286191026,-41.76400893842297,79,"[(-3.1229796999082002, -41.76403866044392), (-3.122970157330005, -41.76397921640202)]","[(-3.1229796999082002, -41.76403866044392), (-3.122970157330005, -41.76397921640202)]",24.901500701904297,58.696502685546875,6.607482,1.0604858,ef_sech16
SECH15,-3.1229747302158506,-41.76389337368925,79,"[(-3.122979501504948, -41.7639230957102), (-3.122969958926753, -41.7638636516683)]","[(-3.122979501504948, -41.7639230957102), (-3.122969958926753, -41.7638636516683)]",24.92354965209961,71.54206085205078,6.607482,1.0604858,ef_sech15
