timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
8000,1.316000104,28.39,0.04092793167
8100,1.404000044,27.8,-0.09167599678
8200,1.404000044,26.76,-0.1760383844
8300,1.471000075,26.18,-0.122739993
8400,1.471000075,26.25,0.0286324881
8500,1.539000034,25.77,-0.0855525583
8600,1.539000034,26.35,0.08041419834
8700,1.438000083,26.94,0.1221142039
8800,1.438000083,26.7,-0.04446407035
8900,1.45600009,26.53,-0.03630618006
9000,1.45600009,26.51,-0.006993614603
9100,1.460000038,27.93,0.2226487994
9200,1.460000038,28.18,0.07564271986
9300,1.381000042,27.71,-0.0866420418
9400,1.381000042,26.37,-0.2411758453
9500,1.203000069,26.57,0.006400191225
9600,1.203000069,26.93,0.03605660424
9700,1.311000109,27.65,0.1257042736
9800,1.311000109,27.6,-0.02248571999
9900,1.415000081,27.91,0.02923448384
10000,1.415000081,27.63,-0.06102304161
10100,1.156000018,27.62,-0.0180330947
10200,1.156000018,27.65,-0.0251235012
10300,1.326000094,27.44,-0.03715277463
10400,1.326000094,27.4,-0.0261150375
10500,1.293000102,26.98,-0.08463642746
10600,1.293000102,27.28,0.02561360411
10700,1.428000093,27.5,0.02881661616
10800,1.428000093,28.1,0.09813559055
10900,0.5870000124,28.47,0.02516636439
11000,0.5870000124,28.08,-0.05759840459
11100,0.83100003,27.27,-0.136775896
11200,0.83100003,26.17,-0.197620362
11300,0.905000031,25.4,-0.1618635356
11400,0.905000031,25.08,-0.05908322707
11500,1.367000103,24.69,-0.05392960832
11600,1.367000103,24.5,-0.03519019485
11700,1.414000034,23.98,-0.08047875017
11800,1.414000034,23.51,-0.07951855659
11900,1.436000109,22.97,-0.08742317557
12000,1.436000109,22.49,-0.07383755594
12100,1.299000025,21.98,-0.08282358944
12200,1.299000025,21.47,-0.06819848716
12300,1.258000016,20.69,-0.1271375865
12400,1.258000016,20.24,-0.07443218678
12500,1.184000015,19.9,-0.02541603334
12600,1.184000015,18.98,-0.1651542038
12700,1.390000105,18.39,-0.1164508834
12800,1.390000105,17.49,-0.132717371
12900,0.6810000539,16.78,-0.1190447435
13000,0.6810000539,16.62,-0.01796706766
13100,0.8620000482,17.17,0.07438314706
13200,0.8620000482,18.03,0.1519845724
13300,1.129000068,18.17,0.02848536894
13400,1.129000068,18.6,0.05384139344
13500,1.355000019,18.54,-0.01067293622
13600,1.355000019,18.47,-0.02941153012
13700,1.237000108,18.99,0.07110661268
13800,1.237000108,19.64,0.109073773
13900,1.383000016,20,0.06814298034
14000,1.383000016,20.19,0.01813944802
14100,1.451000094,20.29,0.01036738697
14200,1.451000094,20.55,0.03765877336
14300,1.539000034,20.92,0.06440001726
14400,1.539000034,21.21,0.0502785854
14500,1.953000069,21.41,0.02324867807
14600,1.953000069,22.08,0.08283472806
14700,1.213000059,23.29,0.2266095281
14800,1.213000059,23.48,0.05573738739
14900,0.4240000248,23.72,0.007815498859
15000,0.4240000248,23.82,0.01658762433
15100,0.3650000095,24.2,0.0425394401
15200,0.3650000095,24.06,-0.01631686278
15300,0.9040000439,24.39,0.02545065992
15400,0.9040000439,24.42,-0.004184802063
15500,1.285000086,24.86,0.05632052198
15600,1.285000086,26.2,0.2327328473
15700,1.00999999,27.17,0.1674576253
15800,1.00999999,28.01,0.12367329
15900,1.154000044,28.75,0.1301686317
16000,1.154000044,29.78,0.1938854307
16100,1.148000002,29.74,-0.003124619601
16200,1.148000002,28.88,-0.1458705068
16300,0.3160000145,29.38,0.047745049
16400,0.3160000145,30.65,0.268456161
16500,1.082000017,31.52,0.1439058036
16600,1.082000017,32.03,0.07403410971
16700,0.9540000558,30.55,-0.2600655258
16800,0.9540000558,30.8,0.006663305685
16900,1.275000095,30.63,-0.02239893377
17000,1.275000095,31.48,0.1397408098
17100,1.370000124,31.53,-0.00426264992
17200,1.370000124,32.59,0.1995724589
17300,1.457000017,31.9,-0.1007564142
17400,1.457000017,31.52,-0.08782725036
17500,1.400000095,31.45,-0.01973104104
17600,1.400000095,31.19,-0.05090644583
17700,1.425000072,30.72,-0.07419389486
17800,1.425000072,29.65,-0.1952443719
