timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
12600,1.356000066,128.78,0.3133458197
12700,0.9430000186,129.96,0.1878760308
12800,0.9430000186,131.73,0.3125344217
12900,1.116000056,132.89,0.2209307104
13000,1.116000056,134.31,0.2355623841
13100,1.426000118,135.47,0.2112747431
13200,1.426000118,136.4,0.1651000828
13300,1.379000068,138.04,0.2871942818
13400,1.379000068,139.19,0.2171289921
13500,1.47300005,140.21,0.2061395645
13600,1.47300005,141.11,0.1673004925
13700,1.438000083,142.88,0.2989678681
13800,1.438000083,144.48,0.3202451468
13900,1.440000057,145.34,0.1676293164
14000,1.440000057,146.37,0.1811048537
14100,1.503000021,147.86,0.28404212
14200,1.503000021,148.92,0.2140916437
14300,1.156000018,150.64,0.2976645231
14400,1.156000018,151.88,0.2436004728
14500,1.15200007,153.43,0.2462922484
14600,1.15200007,155.8,0.4294299781
14700,0.5910000205,157.91,0.4177947342
14800,0.5910000205,159.96,0.4053875804
14900,0.9090000391,161.05,0.2375134528
15000,0.9090000391,162.36,0.2644348443
15100,1.050999999,164.62,0.4315245748
15200,1.050999999,166.81,0.4003639817
15300,1.281000018,169.08,0.3908415139
15400,1.281000018,171.05,0.3413438499
15500,1.356000066,174.03,0.4678027034
15600,1.356000066,176.79,0.4751999378
15700,1.498000026,179.59,0.4697915614
15800,1.498000026,182.22,0.4333132207
15900,1.246000051,185.56,0.5662922263
16000,1.246000051,188.63,0.5219535232
16100,1.296000004,191.98,0.5582805872
16200,1.296000004,195.1,0.5834982395
16300,0.2030000091,196.27,0.2479892075
16400,0.2030000091,197.64,0.2291510105
16500,0.7540000081,199.28,0.2263381779
16600,0.7540000081,201.21,0.3460473418
16700,1.312000036,203.75,0.4591715932
16800,1.312000036,204.99,0.2327272147
16900,1.359000087,206.39,0.2332272232
17000,1.359000087,207.68,0.2314102501
17100,1.506000042,208.9,0.2299009115
17200,1.506000042,210.39,0.2706121802
17300,1.464000106,212.24,0.3275684714
17400,1.464000106,213.3,0.1849487126
17500,1.193000078,214.49,0.2071339637
